id;cenario;entrada;resultado_esperado;status;commit;resultado_observado
CT01;CMV e margem;"Preco 27,90; custo 8,90";"CMV 31,90%; margem R$ 19,00 e 68,10%";Nao executado nesta revisao;;
CT02;Consumo de carne;"3 unidades de 200 g; saldo 5 kg";"Consumo 0,60 kg; saldo 4,40 kg";Nao executado nesta revisao;;
CT03;Quantidade invalida;Quantidade zero ou negativa;Rejeitar sem gravacao ou baixa indevida;Nao executado nesta revisao;;
CT04;Canal incompatível;Pedido presencial em unidade delivery-only;Rejeitar operacao incompatível;Nao executado nesta revisao;;
CT05;Acesso por unidade;Usuario tenta acessar loja nao autorizada;Negar leitura e escrita conforme politica;Nao executado nesta revisao;;
CT06;Reenvio de pedido;Repeticao da mesma requisicao;Sem pedido ou baixa duplicados;Nao executado nesta revisao;;
CT07;Cancelamento;Cancelar pedido conforme estado operacional;Preservar historico e manter saldo coerente com regra documentada;Nao executado nesta revisao;;
CT08;Denominador zero;Preco ou receita igual a zero;"Indicador indisponivel; sem divisao invalida";Nao executado nesta revisao;;
CT09;Filtros;Alterar unidade e periodo no dashboard;Todos os componentes refletem o mesmo recorte;Nao executado nesta revisao;;
CT10;Historico;Consultar pedido persistido;Dados e detalhes correspondem ao registro;Nao executado nesta revisao;;
